Destination,Length
2607:f140:400:a023::2,6
2607:f140:400:a023:c4a0:6ac1:218d:34ca,7
2607:f140:400:a023:e96f:45c9:4be7:981f,2
fe80::1,59
fe80::ae4b:c800:2383:9ff0,1
fe80::e96f:45c9:4be7:981f,1
ff02::1,1795
ff02::16,79
ff02::1:ff00:1,3
