0.0,201514
1.0,16100301
2.0,7449776
3.0,2287544
4.0,23287573
5.0,11854444
6.0,223728
7.0,178731
8.0,445174
9.0,204337
10.0,276777
11.0,203773
12.0,171832
13.0,351182
14.0,237359
15.0,268934
16.0,161758
17.0,283612
18.0,186682
19.0,144177
20.0,178824
21.0,181789
22.0,145400
23.0,213864
24.0,171296
25.0,139707
26.0,185925
27.0,141100
28.0,139060
29.0,128169
30.0,139927
31.0,196186
32.0,144938
33.0,132258
34.0,116649
35.0,234589
36.0,183654
37.0,137179
38.0,250275
39.0,149942
40.0,166127
41.0,144478
42.0,127466
43.0,129141
44.0,157176
45.0,278069
46.0,152344
47.0,157958
48.0,647008
49.0,176897
50.0,161372
51.0,126722
52.0,136302
53.0,205712
54.0,132430
55.0,156660
56.0,248320
57.0,242163
58.0,3813
