ARP,21861
DHCP,16
DNS,794
HTTP,7
HTTP/XML,1
ICMP,1
ICMPv6,1953
IGMPv3,79
LLMNR,64
MDNS,3
NBNS,1
OCSP,3
QUIC,1810
SSDP,116
SSL,1
SSLv2,45
TCP,65346
TLSv1,8
TLSv1.2,29824
TLSv1.3,17164
UDP,3482
